Device name: NVIDIA GeForce GTX 1660 Ti
Memory: 6143MB
Threads per block: 1024
Shared memory per block: 48KB
Registers per block: 65536
Warp size: 32
Max threads per multiprocessor: 1024
Max threads dim: 1024 1024 64
Max grid size: 2147483647 65535 65535
--------1--------
7 0 0-0-0-7 1 7(s)
17 0 0-0-0-17 1 7(s)
27 0 0-0-0-27 1 7(s)
37 0 0-0-0-37 1 7(s)
47 0 0-0-0-47 1 7(s)
57 0 0-0-0-57 1 7(s)
67 0 0-0-0-67 1 7(s)
70 0 0-0-0-70 1 7(s)
71 0 0-0-0-71 1 7(s)
72 0 0-0-0-72 1 7(s)
73 0 0-0-0-73 1 7(s)
74 0 0-0-0-74 1 7(s)
75 0 0-0-0-75 1 7(s)
76 0 0-0-0-76 1 7(s)
--------2--------
77 0 0-0-0-77 2 7(s)
177 0 0-0-0-177 2 7(s)
277 0 0-0-0-277 2 7(s)
377 0 0-0-0-377 2 7(s)
477 0 0-0-0-477 2 7(s)
577 0 0-0-0-577 2 7(s)
677 0 0-0-0-677 2 7(s)
707 0 0-0-0-707 2 7(s)
717 0 0-0-0-717 2 7(s)
727 0 0-0-0-727 2 7(s)
737 0 0-0-0-737 2 7(s)
747 0 0-0-0-747 2 7(s)
757 0 0-0-0-757 2 7(s)
767 0 0-0-0-767 2 7(s)
770 0 0-0-0-770 2 7(s)
771 0 0-0-0-771 2 7(s)
772 0 0-0-0-772 2 7(s)
773 0 0-0-0-773 2 7(s)
774 0 0-0-0-774 2 7(s)
775 0 0-0-0-775 2 7(s)
776 0 0-0-0-776 2 7(s)
--------3--------
777 0 0-0-0-777 3 7(s)
1777 0 0-0-0-1777 3 7(s)
2777 0 0-0-0-2777 3 7(s)
3777 0 0-0-0-3777 3 7(s)
--------5--------
18 27777 0-0-1-17 5 7(s)
9 277777 0-0-5-4 5 7(s)
2783 1077 0-0-6-2777 5 7(s)
--------6--------
45 77777 0-0-7-38 6 7(s)
90 77777 0-0-14-76 6 7(s)
1800 7777 0-0-28-1772 6 7(s)
809 19777 0-0-32-777 6 7(s)
814 22727 0-0-37-777 6 7(s)
2614 7077 0-0-37-2577 6 7(s)
846 27777 0-0-47-799 6 7(s)
3024 7771 0-0-47-2977 6 7(s)
135 177777 0-0-48-87 6 7(s)
4243 7777 0-0-66-4177 6 7(s)
2844 11779 0-0-67-2777 6 7(s)
126 277777 0-0-70-56 6 7(s)
450 77777 0-0-70-380 6 7(s)
1278 27777 0-0-71-1207 6 7(s)
2851 12977 0-0-74-2777 6 7(s)
135 277777 0-0-75-60 6 7(s)
1350 27777 0-0-75-1275 6 7(s)
90 427777 0-0-77-13 6 7(s)
252 152777 0-0-77-175 6 7(s)
354 108757 0-0-77-277 6 7(s)
--------7--------
495 77777 0-0-77-418 7 7(s)
1853 20777 0-0-77-1776 7 7(s)
920 77717 0-0-143-777 7 7(s)
945 77777 0-0-147-798 7 7(s)
1024 71777 0-0-147-877 7 7(s)
3949 21777 0-0-172-3777 7 7(s)
954 92767 0-0-177-777 7 7(s)
1957 47777 0-0-187-1770 7 7(s)
585 177777 0-0-208-377 7 7(s)
1395 77777 0-0-217-1178 7 7(s)
315 377777 0-0-238-77 7 7(s)
